V1,MERCHANDISE,SPOSTMIN,DAYOFWEEK,DAYOFYEAR,WEEKOFYEAR,MONTHOFYEAR,HOLIDAYPX,HOLIDAYM,WDWEVENT,WDWRACE,WDWMAXTEMP,WDWMINTEMP,WDWMEANTEMP,MKEVENT,EPEVENT,HSEVENT,AKEVENT,INSESSION,INSESSION_ENROLLMENT,INSESSION_WDW,INSESSION_DLR,INSESSION_SQRT_WDW,INSESSION_SQRT_DLR,INSESSION_CALIFORNIA,INSESSION_DC,INSESSION_CENTRAL_FL,INSESSION_DRIVE1_FL,INSESSION_DRIVE2_FL,INSESSION_DRIVE_CA,INSESSION_FLORIDA,INSESSION_MARDI_GRAS,INSESSION_MIDWEST,INSESSION_NY_NJ,INSESSION_NY_NJ_PA,INSESSION_NEW_ENGLAND,INSESSION_NEW_JERSEY,INSESSION_NOTHWEST,INSESSION_PLANES,INSESSION_SOCAL,INSESSION_SOUTHWEST,MKEMHMORN,MKEMHMYEST,MKEMHMTOM,MKEMHEVE,MKHOURSEMH,MKHOURSEMHYEST,MKHOURSEMHTOM,MKEMHEYEST,MKEMHETOM,EPEMHMORN,EPEMHMYEST,EPEMHMTOM,EPEMHEVE,EPEMHEYEST,EPEMHETOM,EPHOURSEMH,EPHOURSEMHYEST,EPHOURSEMHTOM,HSEMHMORN,HSEMHMYEST,HSEMHMTOM,HSEMHEVE,HSEMHEYEST,HSEMHETOM,HSHOURSEMH,HSHOURSEMHYEST,HSHOURSEMHTOM,AKEMHMORN,AKEMHMYEST,AKEMHMTOM,AKEMHEVE,AKEMHEYEST,AKEMHETOM,AKHOURSEMH,AKHOURSEMHYEST,AKHOURSEMHTOM,MKHOURS,MKHOURSYEST,MKHOURSTOM,EPHOURS,EPHOURSYEST,EPHOURSTOM,HSHOURS,HSHOURSYEST,HSHOURSTOM,AKHOURS,AKHOURSYEST,AKHOURSTOM,MKDAYSBEFORENONEVENT,MKDAYSSINCENONEVENT,MKEVENTSTREAK,MKEVENTSTREAK_F,WDWMINTEMP_MEAN,WEATHER_WDWHIGH,WEATHER_WDWLOW,WEATHER_WDWPRECIP,CAPACITYLOST_MK,CAPACITYLOST_EP,CAPACITYLOST_HS,CAPACITYLOST_AK,CAPACITYLOSTWGT_MK,CAPACITYLOSTWGT_EP,CAPACITYLOSTWGT_HS,CAPACITYLOSTWGT_AK,EP09CAPACITY,HS20CAPACITY,MKPRDDAY,MKPRDNGT,MKFIREWK,EPFIREWK,HSPRDDAY,HSFIREWK,HSSHWNGT,HSFIREWKS,AKPRDDAY,AKSHWNGT,HOLIDAY 0,HOLIDAY 1,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,SEASON 8,SEASON 9,SEASON 10,SEASON 11,SEASON 12,SEASON 13,SEASON 14,SEASON 15,SEASON 16,SEASON 17,WDW_TICKET_SEASON 1,WDW_TICKET_SEASON 2,WDW_TICKET_SEASON 3,WDWSEASON 1,WDWSEASON 2,WDWSEASON 3,WDWSEASON 4,WDWSEASON 5,WDWSEASON 6,WDWSEASON 7,WDWSEASON 8,WDWSEASON 9,WDWSEASON 10,WDWSEASON 11,WDWSEASON 12,WDWSEASON 13,WDWSEASON 14,WDWSEASON 15,WDWSEASON 16,WDWSEASON 17
11,987,30,1,0,1,1,0,0,0,0,80.49,55.82,68.16,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,987,15,1,0,1,1,0,0,0,0,80.49,55.82,68.16,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,987,25,1,0,1,1,0,0,0,0,80.49,55.82,68.16,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,987,10,1,0,1,1,0,0,0,0,80.49,55.82,68.16,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,987,10,1,0,1,1,0,0,0,0,80.49,55.82,68.16,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,1,0,0,14,18,16,0,0,0,0,1,0,0,0,12,17,13,0,0,0,0,0,0,11,16,11,1,1,0,0,0,0,11,13.5,10,14,17,16,12,17,12,11,16,11,10,12.5,10,1,1,0,0,53.375714286,70.3,50.2,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1363,5,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1363,5,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1363,5,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1363,45,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1363,40,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1363,50,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1363,50,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1363,45,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1363,60,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1363,50,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1363,50,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1363,35,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1363,40,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1363,10,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1363,15,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1363,15,2,1,1,1,2,0,0,0,83.51,61.51,72.51,0,0,0,0,7,8,6,2,8,5,1,45,11,7,7,1,5,7,0,0,0,0,0,0,6,0,0,0,0,0,0,16,14,13,0,0,1,0,0,0,0,1,13,12,14,0,0,0,0,0,0,11,11,11,0,1,0,0,0,0,10,11,10,16,14,13,12,12,12,11,11,11,10,10,10,1,1,0,0,53.750714286,70.3,50,0.12,0,0,0,0,0,0,0,0,2400,1500,1,0,1,1,0,1,1,1,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,983,5,3,2,1,1,3,0,0,0,84.52,69.75,77.13,0,0,0,0,49,54,35,46,48,50,49,97,53,26,38,48,27,46,50,97,83,40,0,78,53,0,53,0,0,0,0,13,16,15,0,1,0,1,0,1,0,0,14,13,12,0,0,0,0,0,0,11,11,12,0,0,0,0,0,0,10,10,10,13,16,13,12,12,12,11,11,12,10,10,10,1,1,0,0,49.212857143,70.3,49.9,0.07,1800,0,0,1800,6200,0,0,12600,2400,1500,1,0,1,1,0,1,1,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
